"title","person","name"
"Knowledge Graph Consolidation by Unifying Synonymous Relationships","https://w3id.org/scholarlydata/person/jan-christoph-kalo","Jan-Christoph Kalo"
"Shape Designer for ShEx and SHACL constraints","https://w3id.org/scholarlydata/person/jeremie-dusart","Jérémie Dusart"
"Link key candidate extraction with relational concept analysis (extended abstract)","https://w3id.org/scholarlydata/person/jeremy-vizzini","Jérémy Vizzini"
"TransEdge: Translating Relation-contextualized Embeddings for Knowledge Graphs","https://w3id.org/scholarlydata/person/jiacheng-huang","Jiacheng Huang"
"Semantic Web Challenge on Tabular Data to Knowledge Graph Matching","https://w3id.org/scholarlydata/person/jiaoyan-chen","Jiaoyan Chen"
"Knowledge Graph Embedding for Ecotoxicological Effect Prediction","https://w3id.org/scholarlydata/person/jiaoyan-chen","Jiaoyan Chen"
"Canonicalizing Knowledge Base Literals","https://w3id.org/scholarlydata/person/jiaoyan-chen","Jiaoyan Chen"
"T2WML: A Cell-Based Language To Map Tables Into Wikidata Records","https://w3id.org/scholarlydata/person/jiasheng-wu","Jiasheng Wu"
"Multi-Query Optimization in RDF Q/A System","https://w3id.org/scholarlydata/person/jie-jiao","Jie Jiao"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/jillian-scalvini","Jillian Scalvini"
"A User Interaction Demonstration For Exploring Medical Knowledge Graph","https://w3id.org/scholarlydata/person/jin-xiao","Jin Xiao"
"A Framework for Evaluating Snippet Generation for Dataset Search","https://w3id.org/scholarlydata/person/jinchi-chen","Jinchi Chen"
"Entity Enabled Relation Linking","https://w3id.org/scholarlydata/person/jinguang-gu","Jinguang Gu"
"Mapping Factoid Adjective Constraints to Existential Restrictions over Knowledge Bases","https://w3id.org/scholarlydata/person/jiwei-ding","Jiwei Ding"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/john-davis","John Davis"
"Benefit graph extraction from healthcare policies","https://w3id.org/scholarlydata/person/john-segrave-daly","John Segrave-Daly"
"Finding melanoma drugs through a probabilistic knowledge graph","https://w3id.org/scholarlydata/person/jonathan-dordick","Jonathan Dordick"
"BTC-2019:The 2019  Billion Triple Challenge Dataset","https://w3id.org/scholarlydata/person/jose-herrera","Jose Herrera"
"ShERML: Mapping Relational Data to RDF","https://w3id.org/scholarlydata/person/jose-martin-lozano-aparicio","Jose Martin Lozano Aparicio"
"How to make latent factors interpretable by feeding Factorization machines with knowledge graphs","https://w3id.org/scholarlydata/person/joseph-trotta","Joseph Trotta"
"Visual Queries over Scholarly Data and other Linked Data Endpoints","https://w3id.org/scholarlydata/person/julija-hodakovska","Jūlija Hodakovska"
"Querying Enterprise Knowledge Graph With Natural Language","https://w3id.org/scholarlydata/person/junyi-chai","Junyi Chai"
"2nd Workshop on Semantic Web for Social Good (SWSG)","https://w3id.org/scholarlydata/person/k-krasnow-waterman","K. Krasnow Waterman"
"The SEPSES knowledge graph: An integrated resource for cybersecurity","https://w3id.org/scholarlydata/person/kabul-kurniawan","Kabul Kurniawan"
"ODIN: A Dataspace Management System","https://w3id.org/scholarlydata/person/kashif-rabbani","Kashif Rabbani"
"Exploring Fact-checked Claims and their Descriptive Statistics","https://w3id.org/scholarlydata/person/katarina-boland","Katarina Boland"
"ClaimsKG: A Live Knowledge Graph of Fact-Checked Claims","https://w3id.org/scholarlydata/person/katarina-boland","Katarina Boland"
"Using Event Graph to Improve Question Answering in E-commerce Customer Service","https://w3id.org/scholarlydata/person/kehan-chen","Kehan Chen"
